p = 12; number of cycles = 10000; data structure = Apache Data Sketches Java HLL4
true distinct count; minimum memory size; average memory size; maximum memory size; minimum serialization size; average serialization size; maximum serialization size; relative distinct count estimation bias; relative distinct count estimation rmse; estimated memory MVP; estimated serialization MVP
4458; 2296; 2338.3808; 2472; 2088; 2089.0996; 2100; -4.6475682924496364E-5; 0.012289512348274885; 2.825364759968484; 2.5241690275186386
4680; 2296; 2340.0176; 2472; 2088; 2089.1496; 2100; -2.2541784760018223E-5; 0.012292108137754248; 2.8285369429488556; 2.5252958879227343
4913; 2296; 2342.0064; 2472; 2088; 2089.21; 2100; -2.606019355103682E-5; 0.01227013396385653; 2.820828437307905; 2.516347939744336
5158; 2296; 2344.0304; 2472; 2088; 2089.2684; 2104; -5.531061860299437E-5; 0.012355940509384473; 2.862891202786858; 2.551736582691322
5415; 2296; 2346.2128; 2472; 2088; 2089.3368; 2104; -4.775886969301877E-5; 0.012368328862282087; 2.8713057140048517; 2.5569397167727552
5685; 2296; 2348.4128; 2472; 2088; 2089.406; 2104; 4.39688081666942E-6; 0.012434506009409487; 2.904835202269655; 2.5844604920537946
5969; 2296; 2350.8944; 2472; 2088; 2089.484; 2104; 1.8961170056213997E-5; 0.01250680308167351; 2.941817535753057; 2.614698759704153
6267; 2296; 2352.7424; 2472; 2088; 2089.5504; 2104; -6.0756211985634266E-5; 0.012608248927372702; 2.992084920525891; 2.6573721978737845
6580; 2296; 2355.2064; 2472; 2088; 2089.6296; 2104; -4.184055649776536E-5; 0.012648489904351693; 3.0143683189225454; 2.674463378038881
6909; 2296; 2357.3008; 2472; 2088; 2089.7068; 2104; -1.6167903588864362E-5; 0.012691138199923065; 3.0374290157818793; 2.6926288188578655
7254; 2296; 2359.5888; 2472; 2088; 2089.7868; 2104; 1.969299147044753E-6; 0.012771074342796644; 3.078797881853194; 2.726759498673991
7616; 2296; 2362.1584; 2472; 2088; 2089.8788; 2104; -6.652128704636997E-5; 0.012814886717683008; 3.1033341939675805; 2.7456212679420378
7996; 2296; 2364.4816; 2472; 2088; 2089.97; 2104; -8.237447370013934E-5; 0.012849295692230037; 3.123090522991164; 2.7605059393720137
8395; 2296; 2367.192; 2472; 2088; 2090.0656; 2104; -9.51953433752894E-5; 0.012901699287528682; 3.152225672667333; 2.7831956351148754
8814; 2296; 2370.0432; 2472; 2088; 2090.1744; 2104; -5.5722603959495276E-5; 0.012982061197632845; 3.1954612346453506; 2.818122162856822
9254; 2296; 2372.7712; 2472; 2088; 2090.2836; 2104; -1.0063070979668028E-4; 0.013110289474348596; 3.262649428296716; 2.8742183791332265
9716; 2296; 2375.3056; 2472; 2088; 2090.3916; 2104; -1.0085085179189029E-4; 0.013255422756762253; 3.3388479833464406; 2.9383586592244546
10201; 2296; 2378.016; 2472; 2088; 2090.5084; 2108; -2.5033606340560344E-5; 0.013394063147494322; 3.4129462099633536; 3.0003131689091056
10711; 2296; 2380.8144; 2472; 2088; 2090.628; 2108; 1.6537142025207195E-5; 0.01349651656711738; 3.4694362503678486; 3.0465627934853026
11246; 2296; 2383.384; 2472; 2088; 2090.744; 2108; 7.581905253670082E-5; 0.013501633127798491; 3.475814674917523; 3.049042318273414
11808; 2296; 2386.816; 2472; 2088; 2090.8884; 2108; 1.0384734960826577E-4; 0.013679274363415166; 3.573016715215335; 3.130018905039118
12398; 2296; 2389.8784; 2472; 2088; 2091.0336; 2108; 8.787141139369674E-5; 0.013780398137305345; 3.63069127425916; 3.176687753528682
13017; 2296; 2392.6944; 2472; 2088; 2091.1832; 2108; 4.1535999086987696E-5; 0.01376953098584644; 3.6292385514277936; 3.171906402897979
13667; 2296; 2395.6336; 2472; 2088; 2091.35; 2108; 2.8415897087472434E-5; 0.013806005418277053; 3.6529729948840277; 3.188987277875344
14350; 2296; 2398.7664; 2472; 2088; 2091.5176; 2108; -4.760247682376493E-5; 0.013882044163360903; 3.698152255148613; 3.2244700980983456
15067; 2296; 2401.9696; 2472; 2088; 2091.698; 2112; -8.914163563955213E-5; 0.013963019996003948; 3.7464178453740717; 3.2624787234331585
15820; 2296; 2404.7856; 2472; 2088; 2091.8596; 2112; -1.2492830280774126E-4; 0.014081328733385625; 3.8146405791850295; 3.318255280686046
16610; 2296; 2407.8656; 2472; 2088; 2092.048; 2116; -1.1848866900123526E-4; 0.014172265760400706; 3.8690184844447573; 3.3615548900842653
17440; 2296; 2410.84; 2472; 2088; 2092.2452; 2116; -8.83823746871447E-5; 0.014310414468759977; 3.949688087627597; 3.427733048578926
18311; 2296; 2413.8848; 2472; 2088; 2092.4516; 2116; -6.718579886972768E-5; 0.014431332810359689; 4.021790201870391; 3.486248118703934
19226; 2296; 2416.9472; 2472; 2088; 2092.674; 2116; -9.846481309535518E-5; 0.014456603384387264; 4.041007744206688; 3.498840123648537
20187; 2296; 2420.1856; 2472; 2088; 2092.908; 2116; -6.980571738862272E-5; 0.014550147189663331; 4.098957665774955; 3.544662562392624
21196; 2296; 2422.7552; 2472; 2088; 2093.1332; 2116; -9.971651962348493E-5; 0.01466898287894072; 4.170609467223719; 3.603187453722225
22255; 2296; 2425.976; 2472; 2088; 2093.4132; 2116; -1.051612999202126E-4; 0.014755685670899538; 4.225667074463866; 3.6463951961965155
23367; 2296; 2429.0384; 2472; 2088; 2093.6736; 2116; -5.569931594575578E-5; 0.014857398713504543; 4.289532118244222; 3.697298549220138
24535; 2296; 2432.1008; 2472; 2088; 2093.9484; 2116; 4.380444125898554E-5; 0.01494499166000062; 4.345731716037786; 3.741513498793544
25761; 2296; 2435.04; 2472; 2088; 2094.2508; 2120; 1.3785613302479122E-4; 0.014975015526900375; 4.3684829941508845; 3.7571041975847974
